# layer center[mm] area[cm2] inner outer
BH4    1211  6.98  1224 1198
BH4    1238  7.29  1251 1224
BH4    1265  7.62  1279 1251
BH4    1293  7.96  1307 1279
BH4    1321  8.31  1336 1307
BH4    1350  8.68  1365 1336
BH4    1380  9.07  1395 1365
BH4    1411  9.47  1426 1395
BH4    1442  9.90  1457 1426
BH4    1474 10.34  1490 1457
BH4    1506 10.80  1523 1490
BH4    1539 11.28  1556 1523
BH4    1573 11.78  1590 1556
BH4    1608 12.31  1625 1590
BH4    1643 12.86  1661 1625
BH4    1680 13.43  1698 1661
BH4    1717 14.03  1735 1698
BH4    1755 14.66  1774 1735
BH4    1793 15.31  1813 1774
BH4    1833 15.99  1853 1813
BH4    1873 16.71  1894 1853
BH4    1915 17.45  1935 1894
BH4    1957 18.23  1978 1935
BH4    2000 19.04  2022 1978
BH4    2044 19.89  2066 2022
BH4    2089 20.78  2112 2066
BH4    2135 21.71  2159 2112
BH4    2182 22.68  2206 2159
BH4    2231 23.69  2255 2206
BH4    2280 24.74  2305 2255
BH4    2330 25.85  2355 2305
BH4    2381 27.00  2407 2355
BH4    2434 28.21  2460 2407
BH5     973  4.51   984  963
BH5     995  4.71  1006  984
BH5    1017  4.92  1028 1006
BH5    1039  5.14  1051 1028
BH5    1062  5.37  1074 1051
BH5    1086  5.61  1098 1074
BH5    1110  5.86  1122 1098
BH5    1134  6.12  1147 1122
BH5    1159  6.40  1172 1147
BH5    1185  6.68  1198 1172
BH5    1211  6.98  1224 1198
BH5    1238  7.29  1251 1224
BH5    1265  7.62  1279 1251
BH5    1293  7.96  1307 1279
BH5    1321  8.31  1336 1307
BH5    1350  8.68  1365 1336
BH5    1380  9.07  1395 1365
BH5    1411  9.47  1426 1395
BH5    1442  9.90  1457 1426
BH5    1474 10.34  1490 1457
BH5    1506 10.80  1523 1490
BH5    1539 11.28  1556 1523
BH5    1573 11.78  1590 1556
BH5    1608 12.31  1625 1590
BH5    1643 12.86  1661 1625
BH5    1680 13.43  1698 1661
BH5    1717 14.03  1735 1698
BH5    1755 14.66  1774 1735
BH5    1793 15.31  1813 1774
BH5    1833 15.99  1853 1813
BH5    1873 16.71  1894 1853
BH5    1915 17.45  1935 1894
BH5    1957 18.23  1978 1935
BH5    2000 19.04  2022 1978
BH5    2044 19.89  2066 2022
BH5    2089 20.78  2112 2066
BH5    2135 21.71  2159 2112
BH5    2182 22.68  2206 2159
BH5    2231 23.69  2255 2206
BH5    2280 24.74  2305 2255
BH5    2330 25.85  2355 2305
BH5    2381 27.00  2407 2355
BH5    2434 28.21  2460 2407
BH5    2488 29.46  2515 2460
BH5    2543 30.78  2570 2515
BH6     973  4.51   984  963
BH6     995  4.71  1006  984
BH6    1017  4.92  1028 1006
BH6    1039  5.14  1051 1028
BH6    1062  5.37  1074 1051
BH6    1086  5.61  1098 1074
BH6    1110  5.86  1122 1098
BH6    1134  6.12  1147 1122
BH6    1159  6.40  1172 1147
BH6    1185  6.68  1198 1172
BH6    1211  6.98  1224 1198
BH6    1238  7.29  1251 1224
BH6    1265  7.62  1279 1251
BH6    1293  7.96  1307 1279
BH6    1321  8.31  1336 1307
BH6    1350  8.68  1365 1336
BH6    1380  9.07  1395 1365
BH6    1411  9.47  1426 1395
BH6    1442  9.90  1457 1426
BH6    1474 10.34  1490 1457
BH6    1506 10.80  1523 1490
BH6    1539 11.28  1556 1523
BH6    1573 11.78  1590 1556
BH6    1608 12.31  1625 1590
BH6    1643 12.86  1661 1625
BH6    1680 13.43  1698 1661
BH6    1717 14.03  1735 1698
BH6    1755 14.66  1774 1735
BH6    1793 15.31  1813 1774
BH6    1833 15.99  1853 1813
BH6    1873 16.71  1894 1853
BH6    1915 17.45  1935 1894
BH6    1957 18.23  1978 1935
BH6    2000 19.04  2022 1978
BH6    2044 19.89  2066 2022
BH6    2089 20.78  2112 2066
BH6    2135 21.71  2159 2112
BH6    2182 22.68  2206 2159
BH6    2231 23.69  2255 2206
BH6    2280 24.74  2305 2255
BH6    2330 25.85  2355 2305
BH6    2381 27.00  2407 2355
BH6    2434 28.21  2460 2407
BH6    2488 29.46  2515 2460
BH6    2543 30.78  2570 2515
BH7     973  4.51   984  963
BH7     995  4.71  1006  984
BH7    1017  4.92  1028 1006
BH7    1039  5.14  1051 1028
BH7    1062  5.37  1074 1051
BH7    1086  5.61  1098 1074
BH7    1110  5.86  1122 1098
BH7    1134  6.12  1147 1122
BH7    1159  6.40  1172 1147
BH7    1185  6.68  1198 1172
BH7    1211  6.98  1224 1198
BH7    1238  7.29  1251 1224
BH7    1265  7.62  1279 1251
BH7    1293  7.96  1307 1279
BH7    1321  8.31  1336 1307
BH7    1350  8.68  1365 1336
BH7    1380  9.07  1395 1365
BH7    1411  9.47  1426 1395
BH7    1442  9.90  1457 1426
BH7    1474 10.34  1490 1457
BH7    1506 10.80  1523 1490
BH7    1539 11.28  1556 1523
BH7    1573 11.78  1590 1556
BH7    1608 12.31  1625 1590
BH7    1643 12.86  1661 1625
BH7    1680 13.43  1698 1661
BH7    1717 14.03  1735 1698
BH7    1755 14.66  1774 1735
BH7    1793 15.31  1813 1774
BH7    1833 15.99  1853 1813
BH7    1873 16.71  1894 1853
BH7    1915 17.45  1935 1894
BH7    1957 18.23  1978 1935
BH7    2000 19.04  2022 1978
BH7    2044 19.89  2066 2022
BH7    2089 20.78  2112 2066
BH7    2135 21.71  2159 2112
BH7    2182 22.68  2206 2159
BH7    2231 23.69  2255 2206
BH7    2280 24.74  2305 2255
BH7    2330 25.85  2355 2305
BH7    2381 27.00  2407 2355
BH7    2434 28.21  2460 2407
BH7    2488 29.46  2515 2460
BH7    2543 30.78  2570 2515
BH8     973  4.51   984  963
BH8     995  4.71  1006  984
BH8    1017  4.92  1028 1006
BH8    1039  5.14  1051 1028
BH8    1062  5.37  1074 1051
BH8    1086  5.61  1098 1074
BH8    1110  5.86  1122 1098
BH8    1134  6.12  1147 1122
BH8    1159  6.40  1172 1147
BH8    1185  6.68  1198 1172
BH8    1211  6.98  1224 1198
BH8    1238  7.29  1251 1224
BH8    1265  7.62  1279 1251
BH8    1293  7.96  1307 1279
BH8    1321  8.31  1336 1307
BH8    1350  8.68  1365 1336
BH8    1380  9.07  1395 1365
BH8    1411  9.47  1426 1395
BH8    1442  9.90  1457 1426
BH8    1474 10.34  1490 1457
BH8    1506 10.80  1523 1490
BH8    1539 11.28  1556 1523
BH8    1573 11.78  1590 1556
BH8    1608 12.31  1625 1590
BH8    1643 12.86  1661 1625
BH8    1680 13.43  1698 1661
BH8    1717 14.03  1735 1698
BH8    1755 14.66  1774 1735
BH8    1793 15.31  1813 1774
BH8    1833 15.99  1853 1813
BH8    1873 16.71  1894 1853
BH8    1915 17.45  1935 1894
BH8    1957 18.23  1978 1935
BH8    2000 19.04  2022 1978
BH8    2044 19.89  2066 2022
BH8    2089 20.78  2112 2066
BH8    2135 21.71  2159 2112
BH8    2182 22.68  2206 2159
BH8    2231 23.69  2255 2206
BH8    2280 24.74  2305 2255
BH8    2330 25.85  2355 2305
BH8    2381 27.00  2407 2355
BH8    2434 28.21  2460 2407
BH8    2488 29.46  2515 2460
BH8    2543 30.78  2570 2515
BH9     973  4.51   984  963
BH9     995  4.71  1006  984
BH9    1017  4.92  1028 1006
BH9    1039  5.14  1051 1028
BH9    1062  5.37  1074 1051
BH9    1086  5.61  1098 1074
BH9    1110  5.86  1122 1098
BH9    1134  6.12  1147 1122
BH9    1159  6.40  1172 1147
BH9    1185  6.68  1198 1172
BH9    1211  6.98  1224 1198
BH9    1238  7.29  1251 1224
BH9    1265  7.62  1279 1251
BH9    1293  7.96  1307 1279
BH9    1321  8.31  1336 1307
BH9    1350  8.68  1365 1336
BH9    1380  9.07  1395 1365
BH9    1411  9.47  1426 1395
BH9    1442  9.90  1457 1426
BH9    1474 10.34  1490 1457
BH9    1506 10.80  1523 1490
BH9    1539 11.28  1556 1523
BH9    1573 11.78  1590 1556
BH9    1608 12.31  1625 1590
BH9    1643 12.86  1661 1625
BH9    1680 13.43  1698 1661
BH9    1717 14.03  1735 1698
BH9    1755 14.66  1774 1735
BH9    1793 15.31  1813 1774
BH9    1833 15.99  1853 1813
BH9    1873 16.71  1894 1853
BH9    1915 17.45  1935 1894
BH9    1957 18.23  1978 1935
BH9    2000 19.04  2022 1978
BH9    2044 19.89  2066 2022
BH9    2089 20.78  2112 2066
BH9    2135 21.71  2159 2112
BH9    2182 22.68  2206 2159
BH9    2231 23.69  2255 2206
BH9    2280 24.74  2305 2255
BH9    2330 25.85  2355 2305
BH9    2381 27.00  2407 2355
BH9    2434 28.21  2460 2407
BH9    2488 29.46  2515 2460
BH9    2543 30.78  2570 2515
BH10    973  4.51   984  963
BH10    995  4.71  1006  984
BH10   1017  4.92  1028 1006
BH10   1039  5.14  1051 1028
BH10   1062  5.37  1074 1051
BH10   1086  5.61  1098 1074
BH10   1110  5.86  1122 1098
BH10   1134  6.12  1147 1122
BH10   1159  6.40  1172 1147
BH10   1185  6.68  1198 1172
BH10   1211  6.98  1224 1198
BH10   1238  7.29  1251 1224
BH10   1265  7.62  1279 1251
BH10   1293  7.96  1307 1279
BH10   1321  8.31  1336 1307
BH10   1350  8.68  1365 1336
BH10   1380  9.07  1395 1365
BH10   1411  9.47  1426 1395
BH10   1442  9.90  1457 1426
BH10   1474 10.34  1490 1457
BH10   1506 10.80  1523 1490
BH10   1539 11.28  1556 1523
BH10   1573 11.78  1590 1556
BH10   1608 12.31  1625 1590
BH10   1643 12.86  1661 1625
BH10   1680 13.43  1698 1661
BH10   1717 14.03  1735 1698
BH10   1755 14.66  1774 1735
BH10   1793 15.31  1813 1774
BH10   1833 15.99  1853 1813
