evt        et        eta        eta(p)     eta(f)    tanphi(p)     tanphi(f)
500   5.000000   2.100000   2.100000   2.104375   -0.820534   -0.820534
600   5.000000   2.100000   2.100000   2.106228   -54.017426   -54.017426
700   5.000000   2.100000   2.100000   2.086579   0.091072   0.091072
800   5.000000   2.100000   2.100000   2.111876   2.420193   2.420193
900   5.000000   2.100000   2.100000   2.107987   -2.080028   -2.080028
0   7.000000   2.100000   2.100000   2.126250   -0.119978   -0.119978
100   7.000000   2.100000   2.100000   2.124848   0.059218   0.059218
200   7.000000   2.100000   2.100000   2.119261   18.095436   18.095436
300   7.000000   2.100000   2.100000   2.084982   -0.661259   -0.661259
400   7.000000   2.100000   2.100000   2.095913   -0.086994   -0.086994
500   7.000000   2.100000   2.100000   2.094616   -0.166751   -0.166751
600   7.000000   2.100000   2.100000   2.055003   1.441964   1.441964
700   7.000000   2.100000   2.100000   2.088482   2.413620   2.413620
800   7.000000   2.100000   2.100000   2.116403   -1.005608   -1.005608
900   7.000000   2.100000   2.100000   2.087376   -0.330569   -0.330569
0   10.000000   2.100000   2.100000   2.071084   16.358811   16.358811
100   10.000000   2.100000   2.100000   2.090368   1.566625   1.566625
200   10.000000   2.100000   2.100000   2.069685   -1.651193   -1.651193
300   10.000000   2.100000   2.100000   2.086315   -0.186578   -0.186578
400   10.000000   2.100000   2.100000   2.098977   0.540366   0.540366
500   10.000000   2.100000   2.100000   2.095679   -0.811887   -0.811887
600   10.000000   2.100000   2.100000   2.083341   14.877903   14.877903
700   10.000000   2.100000   2.100000   2.085294   -0.430419   -0.430419
800   10.000000   2.100000   2.100000   2.094405   -5.883710   -5.883710
900   10.000000   2.100000   2.100000   2.099823   -20.212749   -20.212749
0   30.000000   2.100000   2.100000   2.077069   -0.813141   -0.813141
100   30.000000   2.100000   2.100000   2.105291   1.444538   1.444538
200   30.000000   2.100000   2.100000   2.119269   1.219603   1.219603
300   30.000000   2.100000   2.100000   2.124064   0.811351   0.811351
400   30.000000   2.100000   2.100000   2.086640   -1.743680   -1.743680
500   30.000000   2.100000   2.100000   2.106038   18.341935   18.341935
